Date,Ticker,Overnight_Return_Percentage
2020-01-02,TQQQ,2.4956672443674055
2020-01-03,SQQQ,3.8967136150234616
2020-01-06,SQQQ,2.3776863283036187
2020-01-07,TQQQ,0.09994447529151351
2020-01-08,SQQQ,0.09319664492077884
2020-01-09,TQQQ,2.412781219432669
2020-01-10,TQQQ,1.1237146188911362
2020-01-13,TQQQ,1.2505344164172705
2020-01-14,SQQQ,0.3015075376884502
2020-01-15,TQQQ,0.08359456635318452
2020-01-16,TQQQ,1.4097744360902276
2020-01-17,TQQQ,1.300416539672855
2020-01-21,SQQQ,0.9345794392523255
2020-01-22,TQQQ,1.3820731096645167
2020-01-23,SQQQ,0.2088772845953102
2020-01-24,TQQQ,1.4192785334121938
2020-01-27,SQQQ,6.628982528263094
2020-01-28,TQQQ,2.0815358067299394
2020-01-29,TQQQ,1.6489745439554726
2020-01-30,SQQQ,1.8848700967906362
2020-01-31,TQQQ,1.2185215272136452
2020-02-03,TQQQ,1.5698419478855197
2020-02-04,TQQQ,4.145395139881569
2020-02-05,TQQQ,3.756092898786201
2020-02-06,TQQQ,0.633030990173844
2020-02-07,SQQQ,1.3172966781214157
2020-02-10,SQQQ,1.074660633484159
2020-02-11,TQQQ,1.6414141414141437
2020-02-12,TQQQ,1.7393655371304995
2020-02-13,SQQQ,2.1752265861027187
2020-02-14,TQQQ,0.39553485101520014
2020-02-18,SQQQ,1.4554275318374943
2020-02-19,TQQQ,1.8040787868223829
2020-02-20,SQQQ,0.6253908692932963
2020-02-21,SQQQ,1.3373860182370967
2020-02-24,SQQQ,10.983323749281194
2020-02-25,TQQQ,2.3515886287625465
2020-02-26,TQQQ,1.5237662042301592
2020-02-27,SQQQ,7.643928398645361
2020-02-28,SQQQ,9.97474747474747
2020-03-02,TQQQ,2.948051948051944
2020-03-03,TQQQ,0.9827448291623853
2020-03-04,TQQQ,5.386653210546255
2020-03-05,SQQQ,7.708225556130377
2020-03-06,SQQQ,10.123574144486703
2020-03-09,SQQQ,21.095518334087828
2020-03-10,TQQQ,11.02400783929447
2020-03-11,SQQQ,6.8888888888889
2020-03-12,SQQQ,19.857594936708868
2020-03-13,TQQQ,16.711349419124222
2020-03-16,SQQQ,29.757785467128016
2020-03-17,TQQQ,5.718120805369131
2020-03-18,SQQQ,16.666666666666675
2020-03-19,SQQQ,1.4476614699331813
2020-03-20,TQQQ,6.88712083540528
2020-03-23,TQQQ,1.1827654181920666
2020-03-24,TQQQ,15.749578888265026
2020-03-25,TQQQ,1.469237832874204
2020-03-26,TQQQ,3.0082256169212673
2020-03-27,SQQQ,7.2932717000513625
2020-03-30,TQQQ,2.796571944068549
